email,display_name,name_local,role,role_label,site,region,timezone,status,status_reason,tenant_admin
zenvendemo@gmail.com,M8TRX Demo Admin,M8TRX Demo Admin,tenant_admin,Tenant Administrator,,,Asia/Seoul,active,,true
manon.bernard@decathlon-demo.com,Manon Bernard,Manon Bernard,ceo,Chief Executive Officer,dec-hq-global,FR,Europe/Paris,active,,false
jules.petit@decathlon-demo.com,Jules Petit,Jules Petit,cfo,Chief Financial Officer,dec-hq-global,FR,Europe/Paris,active,,false
chloe.roussel@decathlon-demo.com,Chloé Roussel,Chloé Roussel,coo,Chief Operating Officer,dec-hq-global,FR,Europe/Paris,active,,false
chloe.michel@decathlon-demo.com,Chloé Michel,Chloé Michel,cio,Chief Information Officer / IT Director,dec-hq-global,FR,Europe/Paris,active,,false
emma.muller@decathlon-demo.com,Emma Muller,Emma Muller,global_merch_director,Global Merchandising Director,dec-hq-global,FR,Europe/Paris,active,,false
baptiste.bonnet@decathlon-demo.com,Baptiste Bonnet,Baptiste Bonnet,global_lp_director,Global Loss-Prevention Director,dec-hq-global,FR,Europe/Paris,active,,false
lola.martin@decathlon-demo.com,Lola Martin,Lola Martin,global_hr_director,Global HR Director,dec-hq-global,FR,Europe/Paris,active,,false
alice.roux@decathlon-demo.com,Alice Roux,Alice Roux,global_data_lead,Global Data & Analytics Lead,dec-hq-global,FR,Europe/Paris,active,,false
nancy.miller@decathlon-demo.com,Nancy Miller,Nancy Miller,regional_director,Regional Director,dec-us-region,US,America/New_York,active,,false
joshua.thompson@decathlon-demo.com,Joshua Thompson,Joshua Thompson,regional_ops_manager,Regional Operations Manager,dec-us-region,US,America/New_York,active,,false
robert.robinson@decathlon-demo.com,Robert Robinson,Robert Robinson,regional_merch_manager,Regional Merchandising Manager,dec-us-region,US,America/New_York,active,,false
linda.scott@decathlon-demo.com,Linda Scott,Linda Scott,regional_lp_manager,Regional Loss-Prevention Manager,dec-us-region,US,America/New_York,active,,false
louise.henry@decathlon-demo.com,Louise Henry,Louise Henry,regional_director,Regional Director,dec-fr-region,FR,Europe/Paris,active,,false
hugo.garcia@decathlon-demo.com,Hugo Garcia,Hugo Garcia,regional_ops_manager,Regional Operations Manager,dec-fr-region,FR,Europe/Paris,active,,false
nathan.petit@decathlon-demo.com,Nathan Petit,Nathan Petit,regional_merch_manager,Regional Merchandising Manager,dec-fr-region,FR,Europe/Paris,active,,false
louise.simon@decathlon-demo.com,Louise Simon,Louise Simon,regional_lp_manager,Regional Loss-Prevention Manager,dec-fr-region,FR,Europe/Paris,active,,false
subin.jang@decathlon-demo.com,Jang Su-bin,장수빈,regional_director,Regional Director,dec-kr-region,KR,Asia/Seoul,active,,false
yujin.kang@decathlon-demo.com,Kang Yu-jin,강유진,regional_ops_manager,Regional Operations Manager,dec-kr-region,KR,Asia/Seoul,inactive,deactivated,false
haeun.kwon@decathlon-demo.com,Kwon Ha-eun,권하은,regional_merch_manager,Regional Merchandising Manager,dec-kr-region,KR,Asia/Seoul,active,,false
jungwoo.song@decathlon-demo.com,Song Jung-woo,송정우,regional_lp_manager,Regional Loss-Prevention Manager,dec-kr-region,KR,Asia/Seoul,active,,false
jennifer.anderson@decathlon-demo.com,Jennifer Anderson,Jennifer Anderson,store_manager,Store Manager,dec-us-denver,US,America/Denver,active,,false
sarah.jones@decathlon-demo.com,Sarah Jones,Sarah Jones,assistant_manager,Assistant Store Manager,dec-us-denver,US,America/Denver,active,,false
andrew.wilson@decathlon-demo.com,Andrew Wilson,Andrew Wilson,assistant_manager,Assistant Store Manager,dec-us-denver,US,America/Denver,active,,false
sandra.martinez@decathlon-demo.com,Sandra Martinez,Sandra Martinez,department_leader,Department Leader — Running & Footwear,dec-us-denver,US,America/Denver,active,,false
kimberly.wright@decathlon-demo.com,Kimberly Wright,Kimberly Wright,department_leader,Department Leader — Apparel,dec-us-denver,US,America/Denver,active,,false
betty.nguyen@decathlon-demo.com,Betty Nguyen,Betty Nguyen,department_leader,Department Leader — Fitness,dec-us-denver,US,America/Denver,active,,false
john.allen@decathlon-demo.com,John Allen,John Allen,department_leader,Department Leader — Outdoor,dec-us-denver,US,America/Denver,active,,false
jennifer.davis@decathlon-demo.com,Jennifer Davis,Jennifer Davis,department_leader,Department Leader — Cycle & Swim,dec-us-denver,US,America/Denver,active,,false
betty.hill@decathlon-demo.com,Betty Hill,Betty Hill,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
nathan.robinson@decathlon-demo.com,Nathan Robinson,Nathan Robinson,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
james.davis@decathlon-demo.com,James Davis,James Davis,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
sarah.perez@decathlon-demo.com,Sarah Perez,Sarah Perez,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
daniel.robinson@decathlon-demo.com,Daniel Robinson,Daniel Robinson,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,inactive,deactivated,false
mark.allen@decathlon-demo.com,Mark Allen,Mark Allen,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
karen.allen@decathlon-demo.com,Karen Allen,Karen Allen,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,inactive,terminated,false
lisa.hernandez@decathlon-demo.com,Lisa Hernandez,Lisa Hernandez,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
nathan.lee@decathlon-demo.com,Nathan Lee,Nathan Lee,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
lisa.martin@decathlon-demo.com,Lisa Martin,Lisa Martin,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,inactive,on_long_leave,false
adam.garcia@decathlon-demo.com,Adam Garcia,Adam Garcia,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,inactive,on_long_leave,false
michael.wright@decathlon-demo.com,Michael Wright,Michael Wright,sales_associate,Sales Associate,dec-us-denver,US,America/Denver,active,,false
aaron.scott@decathlon-demo.com,Aaron Scott,Aaron Scott,cashier,Cashier,dec-us-denver,US,America/Denver,active,,false
nathan.ramirez@decathlon-demo.com,Nathan Ramirez,Nathan Ramirez,cashier,Cashier,dec-us-denver,US,America/Denver,active,,false
matthew.martin@decathlon-demo.com,Matthew Martin,Matthew Martin,cashier,Cashier,dec-us-denver,US,America/Denver,active,,false
lisa.lewis@decathlon-demo.com,Lisa Lewis,Lisa Lewis,cashier,Cashier,dec-us-denver,US,America/Denver,active,,false
jessica.anderson@decathlon-demo.com,Jessica Anderson,Jessica Anderson,stock_logistics,Stock & Logistics,dec-us-denver,US,America/Denver,inactive,deactivated,false
donna.scott@decathlon-demo.com,Donna Scott,Donna Scott,stock_logistics,Stock & Logistics,dec-us-denver,US,America/Denver,active,,false
james.jones@decathlon-demo.com,James Jones,James Jones,stock_logistics,Stock & Logistics,dec-us-denver,US,America/Denver,inactive,deactivated,false
michael.williams@decathlon-demo.com,Michael Williams,Michael Williams,stock_logistics,Stock & Logistics,dec-us-denver,US,America/Denver,active,,false
jessica.moore@decathlon-demo.com,Jessica Moore,Jessica Moore,store_lp,Store Loss-Prevention,dec-us-denver,US,America/Denver,active,,false
jose.rodriguez@decathlon-demo.com,Jose Rodriguez,Jose Rodriguez,store_manager,Store Manager,dec-us-nyc,US,America/New_York,active,,false
jessica.walker@decathlon-demo.com,Jessica Walker,Jessica Walker,assistant_manager,Assistant Store Manager,dec-us-nyc,US,America/New_York,active,,false
david.ramirez@decathlon-demo.com,David Ramirez,David Ramirez,assistant_manager,Assistant Store Manager,dec-us-nyc,US,America/New_York,active,,false
sandra.brown@decathlon-demo.com,Sandra Brown,Sandra Brown,department_leader,Department Leader — Running & Footwear,dec-us-nyc,US,America/New_York,inactive,terminated,false
david.brown@decathlon-demo.com,David Brown,David Brown,department_leader,Department Leader — Apparel,dec-us-nyc,US,America/New_York,active,,false
david.thomas@decathlon-demo.com,David Thomas,David Thomas,department_leader,Department Leader — Fitness,dec-us-nyc,US,America/New_York,active,,false
jason.rodriguez@decathlon-demo.com,Jason Rodriguez,Jason Rodriguez,department_leader,Department Leader — Outdoor,dec-us-nyc,US,America/New_York,active,,false
sandra.thomas@decathlon-demo.com,Sandra Thomas,Sandra Thomas,department_leader,Department Leader — Cycle & Swim,dec-us-nyc,US,America/New_York,inactive,resigned,false
kimberly.miller@decathlon-demo.com,Kimberly Miller,Kimberly Miller,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
james.garcia@decathlon-demo.com,James Garcia,James Garcia,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
ashley.walker@decathlon-demo.com,Ashley Walker,Ashley Walker,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
daniel.harris@decathlon-demo.com,Daniel Harris,Daniel Harris,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
sandra.jackson@decathlon-demo.com,Sandra Jackson,Sandra Jackson,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
kimberly.young@decathlon-demo.com,Kimberly Young,Kimberly Young,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
susan.brown@decathlon-demo.com,Susan Brown,Susan Brown,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
jennifer.lee@decathlon-demo.com,Jennifer Lee,Jennifer Lee,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
aaron.allen@decathlon-demo.com,Aaron Allen,Aaron Allen,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
tyler.garcia@decathlon-demo.com,Tyler Garcia,Tyler Garcia,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
michael.thomas@decathlon-demo.com,Michael Thomas,Michael Thomas,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
jessica.nguyen@decathlon-demo.com,Jessica Nguyen,Jessica Nguyen,sales_associate,Sales Associate,dec-us-nyc,US,America/New_York,active,,false
linda.clark@decathlon-demo.com,Linda Clark,Linda Clark,cashier,Cashier,dec-us-nyc,US,America/New_York,active,,false
emily.lee@decathlon-demo.com,Emily Lee,Emily Lee,cashier,Cashier,dec-us-nyc,US,America/New_York,active,,false
andrew.thomas@decathlon-demo.com,Andrew Thomas,Andrew Thomas,cashier,Cashier,dec-us-nyc,US,America/New_York,active,,false
karen.robinson@decathlon-demo.com,Karen Robinson,Karen Robinson,cashier,Cashier,dec-us-nyc,US,America/New_York,active,,false
sandra.flores@decathlon-demo.com,Sandra Flores,Sandra Flores,stock_logistics,Stock & Logistics,dec-us-nyc,US,America/New_York,active,,false
jose.wilson@decathlon-demo.com,Jose Wilson,Jose Wilson,stock_logistics,Stock & Logistics,dec-us-nyc,US,America/New_York,inactive,resigned,false
joshua.jones@decathlon-demo.com,Joshua Jones,Joshua Jones,stock_logistics,Stock & Logistics,dec-us-nyc,US,America/New_York,active,,false
daniel.lewis@decathlon-demo.com,Daniel Lewis,Daniel Lewis,stock_logistics,Stock & Logistics,dec-us-nyc,US,America/New_York,active,,false
carol.king@decathlon-demo.com,Carol King,Carol King,store_lp,Store Loss-Prevention,dec-us-nyc,US,America/New_York,active,,false
kimberly.martin@decathlon-demo.com,Kimberly Martin,Kimberly Martin,store_manager,Store Manager,dec-us-sf,US,America/Los_Angeles,active,,false
mark.davis@decathlon-demo.com,Mark Davis,Mark Davis,assistant_manager,Assistant Store Manager,dec-us-sf,US,America/Los_Angeles,active,,false
